Loop value, array value and sum are 0 5001 5.001000e+03 
Loop value, array value and sum are 1 5002 1.000300e+04 
Loop value, array value and sum are 2 5003 1.500600e+04 
Loop value, array value and sum are 3 5004 2.001000e+04 
Loop value, array value and sum are 4 5005 2.501500e+04 
Loop value, array value and sum are 5 5006 3.002100e+04 
Loop value, array value and sum are 6 5007 3.502800e+04 
Loop value, array value and sum are 7 5008 4.003600e+04 
Loop value, array value and sum are 8 5009 4.504500e+04 
Loop value, array value and sum are 9 5010 5.005500e+04 
Loop value, array value and sum are 10 5011 5.506600e+04 
Loop value, array value and sum are 11 5012 6.007800e+04 
Loop value, array value and sum are 12 5013 6.509100e+04 
Loop value, array value and sum are 13 5014 7.010500e+04 
Loop value, array value and sum are 14 5015 7.512000e+04 
Loop value, array value and sum are 15 5016 8.013600e+04 
Loop value, array value and sum are 16 5017 8.515300e+04 
Loop value, array value and sum are 17 5018 9.017100e+04 
Loop value, array value and sum are 18 5019 9.519000e+04 
Loop value, array value and sum are 19 5020 1.002100e+05 
Loop value, array value and sum are 20 5021 1.052310e+05 
Loop value, array value and sum are 21 5022 1.102530e+05 
Loop value, array value and sum are 22 5023 1.152760e+05 
Loop value, array value and sum are 23 5024 1.203000e+05 
Loop value, array value and sum are 24 5025 1.253250e+05 
Loop value, array value and sum are 25 5026 1.303510e+05 
Loop value, array value and sum are 26 5027 1.353780e+05 
Loop value, array value and sum are 27 5028 1.404060e+05 
Loop value, array value and sum are 28 5029 1.454350e+05 
Loop value, array value and sum are 29 5030 1.504650e+05 
Loop value, array value and sum are 30 5031 1.554960e+05 
Loop value, array value and sum are 31 5032 1.605280e+05 
Loop value, array value and sum are 32 5033 1.655610e+05 
Loop value, array value and sum are 33 5034 1.705950e+05 
Loop value, array value and sum are 34 5035 1.756300e+05 
Loop value, array value and sum are 35 5036 1.806660e+05 
Loop value, array value and sum are 36 5037 1.857030e+05 
Loop value, array value and sum are 37 5038 1.907410e+05 
Loop value, array value and sum are 38 5039 1.957800e+05 
Loop value, array value and sum are 39 5040 2.008200e+05 
Loop value, array value and sum are 40 5041 2.058610e+05 
Loop value, array value and sum are 41 5042 2.109030e+05 
Loop value, array value and sum are 42 5043 2.159460e+05 
Loop value, array value and sum are 43 5044 2.209900e+05 
Loop value, array value and sum are 44 5045 2.260350e+05 
Loop value, array value and sum are 45 5046 2.310810e+05 
Loop value, array value and sum are 46 5047 2.361280e+05 
Loop value, array value and sum are 47 5048 2.411760e+05 
Loop value, array value and sum are 48 5049 2.462250e+05 
Loop value, array value and sum are 49 5050 2.512750e+05 
Loop value, array value and sum are 50 5051 2.563260e+05 
Loop value, array value and sum are 51 5052 2.613780e+05 
